,Mahalanobis,10-LOF,Time
0,1.4464409199034216,1.2563840100335817,600.7381906510001
3,0.031583388869803115,1.136341517432508,6.551017132999959
6,1.0414156319780241,1.199834967029325,600.720297458
9,0.2545480013928669,1.1326247816279875,38.30077413199979
12,1.5914354536824131,1.1807018533386098,600.73603998
15,0.5609708592405459,1.587479634468259,113.76179109799978
18,0.7232296525891406,1.3922491493093658,221.5225045239995
21,1.3586134296866068,1.4719303147894451,600.7674409250002
24,0.0495770961276588,1.160701414489563,7.5373120610001925
27,0.031583388869803115,1.2035538836511002,7.026258819001669
30,0.08929411684718748,1.4990905101820495,7.5183594609989095
33,0.5528226184561084,2.2246868332641254,327.04205383800036
36,0.6200276387671501,1.4160550854900138,260.6722879940007
39,1.2109069369683498,1.382498216737266,600.8730877839989
42,0.5434681447241599,1.755865052424042,195.2132870570004
45,0.4280410710032416,1.5532883353757758,25.69424664000144
48,0.5300742927764889,1.17289514813943,141.75800802499907
51,1.7677792802638284,1.2644311541367323,600.7249564600006
54,2.2077159278687915,2.761235995728988,600.9655454950008
57,1.838626271374276,1.7681746502785525,600.8164332190026
60,1.2629766060443162,1.4668177707836618,600.7080096760002
63,0.7522947515780842,1.1360672377703196,411.8493273339991
66,0.2333352857370573,1.158194116728882,33.43508003199895
69,0.2260410763581051,1.2348098890149342,22.967887930000874
72,0.2396026981545517,1.1356302705517194,30.93540850999852
75,0.7413609510487837,1.1348481375551998,600.7298560810012
78,0.17256939257784967,1.3512826216325338,19.11329209199903
81,0.4082507848521196,1.2507671014141042,43.78844833500261
84,0.4692746049165332,1.5946258809926248,92.848396546
87,0.6577571338126678,1.4105812292983724,268.3537914419976
90,3.801144833928831,1.0614804013586343,600.7411378350008
93,0.4868528320179473,1.0027956591160128,164.71391466099885
96,1.091626294029595,1.1055427204183297,600.6700501329979
99,0.4337451901061231,1.182952681336831,101.77835563799816
102,1.443926015962666,1.0401818579883986,600.712504993
105,0.4944267451214123,1.0472227210953668,113.0343119340032
108,0.3254635312784916,1.276015400332272,145.97777159300313
111,0.9377601891846048,1.6381090412463628,600.7255054730012
114,0.17852236296570342,1.0567370106630043,21.01215088400204
117,0.5668796228816594,1.819674749521956,175.1129202560005
120,0.6635692310745411,1.0546115047060831,417.88408970100136
123,1.2090352263532245,3.935957896167719,600.7376301559998
126,1.2140929169701165,1.0144170503904462,600.6540815469997
129,1.5087572425385096,0.9999320800746628,600.7221384379956
132,0.16875326966301435,1.075832883359952,10.469787652000377
135,0.06583096088738725,1.38677281719735,5.784067756001606
138,1.1867705262224544,1.154405030256831,600.6860324680018
141,0.6393178426919301,1.7719592819565817,383.2960234229977
144,2.3576123427207185,1.84898077738432,600.6931138400033
147,0.14186789003486816,1.014076782205554,9.491048192998276
