Mahalanobis,10-LOF,Time
3.3288968220466106,1.3440926304151721,14.817487428001186
1.7067062893774385,1.290532132807799,3.7234572429988475
2.995264310282749,1.1977504976687496,10.904243719000078
0.7994593890754087,1.1672613169012815,14.467597404000117
3.241774227377082,1.6186499147933404,23.162993710000592
0.7209396374438096,1.3371444011271398,1.3946849010026199
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
0.3604698187219048,1.191508136223192,5.574708080996061
2.908791534830402,1.3430305162343437,29.91192355700332
3.033345316487789,1.3399087225895523,16.34264221799822
2.53528944861148,1.2206250961200324,4.47175948000222
1.1416050103523265,1.296541863385756,9.20224054800201
3.6942880228380757,1.5073874356260737,24.08640715000365
0.5407047280828572,1.395747227149915,1.0603386720031267
1.7900504536282495,1.2755122755984118,7.890503181006352
-1.0,-1.0,-1.0
2.756264953157781,1.2364154944168835,17.35450946600031
2.304836066521776,1.1991378194891493,9.730907806995674
1.347200314593339,1.0809574739907064,7.2751854800008005
1.6058806252913775,1.0879499805244361,12.754424917002325
3.4348821635053004,1.8510278811036003,15.049679061994539
1.423299661975815,1.2061484870506383,8.889173599003698
-1.0,-1.0,-1.0
2.576621769776926,1.5781439217256557,36.652144902000146
4.258223304560979,1.3484503323677548,15.61732446100359
1.7134704135014034,1.2386689617757565,7.830443318998732
1.167860081665386,1.061222062972617,7.915906009002356
1.0814094561657144,0.9961502708407304,4.899440393004625
0.5407047280828572,1.2100448830225452,0.8985184560006019
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
0.30674904897958366,1.156892766611573,3.6811481389959226
-1.0,-1.0,-1.0
1.8641633084004614,1.148543776463773,26.856314386997838
1.4410182251395913,1.1803119866600476,10.325519929996517
2.949343617278099,1.1310458471639415,15.814969216000463
3.713463792752338,1.1722227650535972,26.725164750001568
0.3713118799286199,0.9958818229008634,3.5871070499997586
0.977465589005468,0.9867546743355083,6.273613853001734
2.9223527786668826,5.779986782263165,16.94018032999884
5.281179760260817,2.1816709836191763,154.0112853190003
2.162334951466369,1.5146937679045032,20.57721013000264
1.3551230364592541,1.00338805108094,3.6837009910013876
3.0501457459156236,1.5824175423735138,18.141136937003466
2.192068296873488,1.167331501680747,14.545094777000486
2.5723148336928365,1.0316722459012007,16.46857522201026
3.0639934591361913,1.766651423581779,4.725730197009398
0.37187259402467104,1.0588320747404418,1.8056493729964131
3.1984827538090768,1.207732095294328,30.835843923996435
